Tanggal;Harga Komoditas (Beras Medium / kg)
2014-01-01;8035
2014-01-02;8034
2014-01-03;8034
2014-01-04;8034
2014-01-05;8032
2014-01-06;8043
2014-01-07;8052
2014-01-08;8053
2014-01-09;8053
2014-01-10;8055
2014-01-11;8060
2014-01-12;8062
2014-01-13;8065
2014-01-14;8065
2014-01-15;8066
2014-01-16;8066
2014-01-17;8068
2014-01-18;8068
2014-01-19;8068
2014-01-20;8071
2014-01-21;8071
2014-01-22;8070
2014-01-23;8072
2014-01-24;8069
2014-01-25;8072
2014-01-26;8075
2014-01-27;8075
2014-01-28;8072
2014-01-29;8061
2014-01-30;8077
2014-01-31;8095
2014-02-01;8064
2014-02-02;8066
2014-02-03;8085
2014-02-04;8088
2014-02-05;8088
2014-02-06;8123
2014-02-07;8116
2014-02-08;8117
2014-02-09;8117
2014-02-10;8121
2014-02-11;8124
2014-02-12;8126
2014-02-13;8126
2014-02-14;8126
2014-02-15;8127
2014-02-16;8132
2014-02-17;8133
2014-02-18;8146
2014-02-19;8148
2014-02-20;8149
2014-02-21;8124
2014-02-22;8144
2014-02-23;8144
2014-02-24;8153
2014-02-25;8154
2014-02-26;8167
2014-02-27;8170
2014-02-28;8168
2014-03-01;8176
2014-03-02;8185
2014-03-03;8179
2014-03-04;8160
2014-03-05;8195
2014-03-06;8187
2014-03-07;8187
2014-03-08;8183
2014-03-09;8184
2014-03-10;8178
2014-03-11;8176
2014-03-12;8172
2014-03-13;8151
2014-03-14;8142
2014-03-15;8129
2014-03-16;8130
2014-03-17;8109
2014-03-18;8106
2014-03-19;8102
2014-03-20;8104
2014-03-21;8102
2014-03-22;8095
2014-03-23;8097
2014-03-24;8062
2014-03-25;8062
2014-03-26;8062
2014-03-27;8079
2014-03-28;8097
2014-03-29;8086
2014-03-30;8110
2014-03-31;8093
2014-04-01;8055
2014-04-02;8031
2014-04-03;8017
2014-04-04;7993
2014-04-05;7982
2014-04-06;7974
2014-04-07;7986
2014-04-08;7981
2014-04-09;7991
2014-04-10;7971
2014-04-11;7964
2014-04-12;7957
2014-04-13;7958
2014-04-14;7935
2014-04-15;7943
2014-04-16;7913
2014-04-17;7932
2014-04-18;7932
2014-04-19;7928
2014-04-20;7894
2014-04-21;7874
2014-04-22;7874
2014-04-23;7853
2014-04-24;7855
2014-04-25;7865
2014-04-26;7911
2014-04-27;7911
2014-04-28;7851
2014-04-29;7832
2014-04-30;7839
2014-05-01;7826
2014-05-02;7839
2014-05-03;7871
2014-05-04;7842
2014-05-05;7832
2014-05-06;7838
2014-05-07;7846
2014-05-08;7837
2014-05-09;7893
2014-05-10;7894
2014-05-11;7895
2014-05-12;7856
2014-05-13;7862
2014-05-14;7879
2014-05-15;7874
2014-05-16;7877
2014-05-17;7904
2014-05-18;7873
2014-05-19;7876
2014-05-20;7904
2014-05-21;7903
2014-05-22;7884
2014-05-23;7889
2014-05-24;7910
2014-05-25;7910
2014-05-26;7873
2014-05-27;7895
2014-05-28;7892
2014-05-29;7879
2014-05-30;7867
2014-05-31;7908
2014-06-01;7859
2014-06-02;7820
2014-06-03;7817
2014-06-04;7819
2014-06-05;7826
2014-06-06;7821
2014-06-07;7866
2014-06-08;7866
2014-06-09;7821
2014-06-10;7807
2014-06-11;7800
2014-06-12;7810
2014-06-13;7808
2014-06-14;7839
2014-06-15;7841
2014-06-16;7805
2014-06-17;7780
2014-06-18;7797
2014-06-19;7803
2014-06-20;7804
2014-06-21;7832
2014-06-22;7839
2014-06-23;8340
2014-06-24;7843
2014-06-25;7821
2014-06-26;7814
2014-06-27;7816
2014-06-28;7880
2014-06-29;7861
2014-06-30;7833
2014-07-01;7827
2014-07-02;7828
2014-07-03;7841
2014-07-04;7844
2014-07-05;7880
2014-07-06;7878
2014-07-07;7856
2014-07-08;7849
2014-07-09;7888
2014-07-10;7836
2014-07-11;7823
2014-07-12;7865
2014-07-13;7867
2014-07-14;7829
2014-07-15;7830
2014-07-16;7831
2014-07-17;7844
2014-07-18;7850
2014-07-19;7876
2014-07-20;7878
2014-07-21;7834
2014-07-22;7843
2014-07-23;7839
2014-07-24;7841
2014-07-25;7843
2014-07-26;7897
2014-07-27;7872
2014-07-28;7912
2014-07-29;7912
2014-07-30;7873
2014-07-31;7898
2014-08-01;7901
2014-08-02;7901
2014-08-03;7901
2014-08-04;7817
2014-08-05;7815
2014-08-06;7806
2014-08-07;7816
2014-08-08;7818
2014-08-09;7859
2014-08-10;7854
2014-08-11;7814
2014-08-12;7822
2014-08-13;7840
2014-08-14;7831
2014-08-15;7868
2014-08-16;7863
2014-08-17;7867
2014-08-18;7828
2014-08-19;7793
2014-08-20;7792
2014-08-21;7792
2014-08-22;7791
2014-08-23;7825
2014-08-24;7823
2014-08-25;7790
2014-08-26;7790
2014-08-27;7786
2014-08-28;7786
2014-08-29;7825
2014-08-30;7835
2014-08-31;7829
2014-09-01;7795
2014-09-02;7795
2014-09-03;7799
2014-09-04;7806
2014-09-05;7809
2014-09-06;7859
2014-09-07;7873
2014-09-08;7848
2014-09-09;7815
2014-09-10;7816
2014-09-11;7803
2014-09-12;7799
2014-09-13;7812
2014-09-14;7812
2014-09-15;7800
2014-09-16;7802
2014-09-17;7795
2014-09-18;7788
2014-09-19;7833
2014-09-20;7850
2014-09-21;7842
2014-09-22;7777
2014-09-23;7777
2014-09-24;7824
2014-09-25;7828
2014-09-26;7785
2014-09-27;7830
2014-09-28;7834
2014-09-29;7833
2014-09-30;7850
2014-10-01;7861
2014-10-02;7861
2014-10-03;7863
2014-10-04;7911
2014-10-05;7914
2014-10-06;7866
2014-10-07;7892
2014-10-08;7899
2014-10-09;7906
2014-10-10;7894
2014-10-11;7897
2014-10-12;7899
2014-10-13;7902
2014-10-14;7917
2014-10-15;7881
2014-10-16;7882
2014-10-17;7882
2014-10-18;7893
2014-10-19;7890
2014-10-20;7918
2014-10-21;7918
2014-10-22;7930
2014-10-23;7916
2014-10-24;7920
2014-10-25;7918
2014-10-26;7930
2014-10-27;7942
2014-10-28;7972
2014-10-29;7974
2014-10-30;7975
2014-10-31;7973
2014-11-01;7967
2014-11-02;7969
2014-11-03;7981
2014-11-04;7999
2014-11-05;7985
2014-11-06;7988
2014-11-07;7997
2014-11-08;7998
2014-11-09;8004
2014-11-10;8025
2014-11-11;8062
2014-11-12;8047
2014-11-13;8623
2014-11-14;8642
2014-11-15;8661
2014-11-16;8649
2014-11-17;8675
2014-11-18;8688
2014-11-19;8721
2014-11-20;8234
2014-11-21;8759
2014-11-22;8771
2014-11-23;8772
2014-11-24;8775
2014-11-25;8796
2014-11-26;8824
2014-11-27;8337
2014-11-28;8364
2014-11-29;8382
2014-11-30;8423
2014-12-01;8508
2014-12-02;8561
2014-12-03;8558
2014-12-04;8578
2014-12-05;8584
2014-12-06;8595
2014-12-07;8594
2014-12-08;8709
2014-12-09;8708
2014-12-10;8711
2014-12-11;8725
2014-12-12;8735
2014-12-13;8761
2014-12-14;8754
2014-12-15;8778
2014-12-16;8822
2014-12-17;8831
2014-12-18;8833
2014-12-19;8833
2014-12-20;8849
2014-12-21;8864
2014-12-22;8863
2014-12-23;8864
2014-12-24;8854
2014-12-25;8884
2014-12-26;8884
2014-12-27;8892
2014-12-28;8897
2014-12-29;8882
2014-12-30;8896
2014-12-31;8857
2015-01-01;8865
2015-01-02;8868
2015-01-03;8868
2015-01-04;8869
2015-01-05;8863
2015-01-06;8864
2015-01-07;8886
2015-01-08;8875
2015-01-09;8872
2015-01-10;8878
2015-01-11;8897
2015-01-12;8899
2015-01-13;8899
2015-01-14;8883
2015-01-15;8879
2015-01-16;8896
2015-01-17;8895
2015-01-18;8895
2015-01-19;8907
2015-01-20;8876
2015-01-21;8891
2015-01-22;8867
2015-01-23;8867
2015-01-24;8862
2015-01-25;8855
2015-01-26;8845
2015-01-27;8842
2015-01-28;8855
2015-01-29;8855
2015-01-30;8851
2015-01-31;8856
2015-02-01;8851
2015-02-02;8852
2015-02-03;8875
2015-02-04;8880
2015-02-05;8868
2015-02-06;8881
2015-02-07;8883
2015-02-08;8883
2015-02-09;8883
2015-02-10;8876
2015-02-11;8903
2015-02-12;8900
2015-02-13;8902
2015-02-14;8922
2015-02-15;8927
2015-02-16;8988
2015-02-17;9017
2015-02-18;9052
2015-02-19;9067
2015-02-20;9082
2015-02-21;9166
2015-02-22;9223
2015-02-23;9418
2015-02-24;9541
2015-02-25;9649
2015-02-26;9705
2015-02-27;9725
2015-02-28;9748
2015-03-01;9748
2015-03-02;9728
2015-03-03;9767
2015-03-04;9727
2015-03-05;9667
2015-03-06;9623
2015-03-07;9599
2015-03-08;9589
2015-03-09;9482
2015-03-10;9452
2015-03-11;9429
2015-03-12;9368
2015-03-13;9330
2015-03-14;9281
2015-03-15;9258
2015-03-16;9193
2015-03-17;9162
2015-03-18;9126
2015-03-19;9123
2015-03-20;9133
2015-03-21;9135
2015-03-22;9117
2015-03-23;9038
2015-03-24;9009
2015-03-25;8998
2015-03-26;8922
2015-03-27;8917
2015-03-28;8869
2015-03-29;8845
2015-03-30;8705
2015-03-31;8724
2015-04-01;8685
2015-04-02;8677
2015-04-03;8674
2015-04-04;8661
2015-04-05;8652
2015-04-06;8576
2015-04-07;8561
2015-04-08;8575
2015-04-09;8556
2015-04-10;8543
2015-04-11;8541
2015-04-12;8536
2015-04-13;8493
2015-04-14;8483
2015-04-15;8472
2015-04-16;8468
2015-04-17;8445
2015-04-18;8457
2015-04-19;8465
2015-04-20;8418
2015-04-21;8410
2015-04-22;8411
2015-04-23;8418
2015-04-24;8409
2015-04-25;8410
2015-04-26;8398
2015-04-27;8423
2015-04-28;8427
2015-04-29;8432
2015-04-30;8427
2015-05-01;8430
2015-05-02;8421
2015-05-03;8421
2015-05-04;8420
2015-05-05;8427
2015-05-06;8427
2015-05-07;8437
2015-05-08;8435
2015-05-09;8437
2015-05-10;8445
2015-05-11;8441
2015-05-12;8430
2015-05-13;8460
2015-05-14;8461
2015-05-15;8456
2015-05-16;8456
2015-05-17;8464
2015-05-18;8452
2015-05-19;8436
2015-05-20;8447
2015-05-21;8439
2015-05-22;8430
2015-05-23;8438
2015-05-24;8428
2015-05-25;8436
2015-05-26;8419
2015-05-27;8419
2015-05-28;8433
2015-05-29;8434
2015-05-30;8440
2015-05-31;8452
2015-06-01;8470
2015-06-02;8472
2015-06-03;8482
2015-06-04;8508
2015-06-05;8511
2015-06-06;8514
2015-06-07;8514
2015-06-08;8522
2015-06-09;8538
2015-06-10;8537
2015-06-11;8540
2015-06-12;8548
2015-06-13;8552
2015-06-14;8554
2015-06-15;8565
2015-06-16;8563
2015-06-17;8568
2015-06-18;8571
2015-06-19;8587
2015-06-20;8597
2015-06-21;8584
2015-06-22;8581
2015-06-23;8599
2015-06-24;8603
2015-06-25;8625
2015-06-26;8622
2015-06-27;8618
2015-06-28;8616
2015-06-29;8618
2015-06-30;8632
2015-07-01;8607
2015-07-02;8597
2015-07-03;8609
2015-07-04;8611
2015-07-05;8620
2015-07-06;8624
2015-07-07;8622
2015-07-08;8624
2015-07-09;8625
2015-07-10;8626
2015-07-11;8626
2015-07-12;8627
2015-07-13;8629
2015-07-14;8633
2015-07-15;8634
2015-07-16;8630
2015-07-17;8647
2015-07-18;8644
2015-07-19;8635
2015-07-20;8664
2015-07-21;8666
2015-07-22;8667
2015-07-23;8679
2015-07-24;8685
2015-07-25;8687
2015-07-26;8662
2015-07-27;8638
2015-07-28;8634
2015-07-29;8649
2015-07-30;8663
2015-07-31;8663
2015-08-01;8663
2015-08-02;8659
2015-08-03;8701
2015-08-04;8718
2015-08-05;8726
2015-08-06;8737
2015-08-07;8746
2015-08-08;8747
2015-08-09;8777
2015-08-10;8808
2015-08-11;8818
2015-08-12;8837
2015-08-13;8853
2015-08-14;8853
2015-08-15;8862
