Tanggal;Harga Bawang Merah 
2014-01-01;25376
2014-01-02;25328
2014-01-03;25355
2014-01-04;25312
2014-01-05;25231
2014-01-06;24691
2014-01-07;24352
2014-01-08;24518
2014-01-09;24271
2014-01-10;24106
2014-01-11;23722
2014-01-12;23674
2014-01-13;23014
2014-01-14;22888
2014-01-15;22926
2014-01-16;22377
2014-01-17;22303
2014-01-18;21927
2014-01-19;21868
2014-01-20;20522
2014-01-21;20588
2014-01-22;20394
2014-01-23;19973
2014-01-24;19700
2014-01-25;19556
2014-01-26;19559
2014-01-27;18906
2014-01-28;18171
2014-01-29;17752
2014-01-30;17826
2014-01-31;17616
2014-02-01;17524
2014-02-02;17560
2014-02-03;17108
2014-02-04;17023
2014-02-05;16805
2014-02-06;16473
2014-02-07;16196
2014-02-08;16171
2014-02-09;16294
2014-02-10;16250
2014-02-11;16252
2014-02-12;16180
2014-02-13;16044
2014-02-14;15983
2014-02-15;16015
2014-02-16;16156
2014-02-17;16161
2014-02-18;16202
2014-02-19;16174
2014-02-20;16149
2014-02-21;16158
2014-02-22;16301
2014-02-23;16437
2014-02-24;15737
2014-02-25;15723
2014-02-26;15697
2014-02-27;15830
2014-02-28;15906
2014-03-01;16008
2014-03-02;16158
2014-03-03;16682
2014-03-04;16939
2014-03-05;16660
2014-03-06;16762
2014-03-07;17015
2014-03-08;16927
2014-03-09;16941
2014-03-10;16804
2014-03-11;16817
2014-03-12;16850
2014-03-13;16846
2014-03-14;17014
2014-03-15;17114
2014-03-16;17176
2014-03-17;17432
2014-03-18;17551
2014-03-19;17480
2014-03-20;17554
2014-03-21;17659
2014-03-22;17666
2014-03-23;17583
2014-03-24;17486
2014-03-25;17802
2014-03-26;17396
2014-03-27;17266
2014-03-28;17341
2014-03-29;17316
2014-03-30;17296
2014-03-31;17046
2014-04-01;17529
2014-04-02;17437
2014-04-03;17307
2014-04-04;16990
2014-04-05;16990
2014-04-06;17003
2014-04-07;17107
2014-04-08;17051
2014-04-09;17055
2014-04-10;16871
2014-04-11;16864
2014-04-12;16914
2014-04-13;18193
2014-04-14;16737
2014-04-15;16736
2014-04-16;16998
2014-04-17;16739
2014-04-18;16819
2014-04-19;16667
2014-04-20;16689
2014-04-21;16607
2014-04-22;16507
2014-04-23;16230
2014-04-24;16083
2014-04-25;16290
2014-04-26;16252
2014-04-27;16301
2014-04-28;15828
2014-04-29;16003
2014-04-30;16058
2014-05-01;15968
2014-05-02;15879
2014-05-03;15717
2014-05-04;15822
2014-05-05;15829
2014-05-06;15921
2014-05-07;15904
2014-05-08;16034
2014-05-09;15878
2014-05-10;15912
2014-05-11;15811
2014-05-12;16015
2014-05-13;15844
2014-05-14;15745
2014-05-15;15686
2014-05-16;15831
2014-05-17;15758
2014-05-18;15753
2014-05-19;15683
2014-05-20;15998
2014-05-21;16100
2014-05-22;17737
2014-05-23;17738
2014-05-24;16236
2014-05-25;16305
2014-05-26;18681
2014-05-27;18528
2014-05-28;18583
2014-05-29;18741
2014-05-30;18732
2014-05-31;18934
2014-06-01;18916
2014-06-02;19203
2014-06-03;19248
2014-06-04;17963
2014-06-05;18242
2014-06-06;18141
2014-06-07;18129
2014-06-08;18164
2014-06-09;19401
2014-06-10;19764
2014-06-11;19956
2014-06-12;20435
2014-06-13;20428
2014-06-14;20195
2014-06-15;20248
2014-06-16;20760
2014-06-17;20850
2014-06-18;20952
2014-06-19;20916
2014-06-20;20739
2014-06-21;20555
2014-06-22;20550
2014-06-23;20810
2014-06-24;21042
2014-06-25;21003
2014-06-26;21086
2014-06-27;21103
2014-06-28;21002
2014-06-29;20967
2014-06-30;21130
2014-07-01;21021
2014-07-02;20968
2014-07-03;20795
2014-07-04;20630
2014-07-05;20464
2014-07-06;20272
2014-07-07;20332
2014-07-08;20139
2014-07-09;19943
2014-07-10;19694
2014-07-11;19637
2014-07-12;19587
2014-07-13;19483
2014-07-14;19354
2014-07-15;19233
2014-07-16;19283
2014-07-17;18934
2014-07-18;18841
2014-07-19;18732
2014-07-20;18685
2014-07-21;18669
2014-07-22;18634
2014-07-23;18520
2014-07-24;18614
2014-07-25;18447
2014-07-26;18650
2014-07-27;19068
2014-07-28;18839
2014-07-29;18886
2014-07-30;18827
2014-07-31;18427
2014-08-01;18374
2014-08-02;18167
2014-08-03;18086
2014-08-04;17785
2014-08-05;17470
2014-08-06;17468
2014-08-07;17473
2014-08-08;17406
2014-08-09;17392
2014-08-10;17320
2014-08-11;16762
2014-08-12;16450
2014-08-13;16292
2014-08-14;16126
2014-08-15;15970
2014-08-16;15699
2014-08-17;15675
2014-08-18;16141
2014-08-19;16127
2014-08-20;15662
2014-08-21;15662
2014-08-22;15310
2014-08-23;15187
2014-08-24;15023
2014-08-25;14396
2014-08-26;14317
2014-08-27;14003
2014-08-28;13647
2014-08-29;13505
2014-08-30;13404
2014-08-31;13300
2014-09-01;13096
2014-09-02;13141
2014-09-03;13161
2014-09-04;12962
2014-09-05;13001
2014-09-06;12983
2014-09-07;13014
2014-09-08;13208
2014-09-09;13388
2014-09-10;13373
2014-09-11;13447
2014-09-12;13261
2014-09-13;13215
2014-09-14;12787
2014-09-15;12897
2014-09-16;13081
2014-09-17;13100
2014-09-18;12994
2014-09-19;13144
2014-09-20;13027
2014-09-21;13131
2014-09-22;13294
2014-09-23;13326
2014-09-24;13310
2014-09-25;13234
2014-09-26;13305
2014-09-27;13292
2014-09-28;13264
2014-09-29;13441
2014-09-30;13404
2014-10-01;13376
2014-10-02;13369
2014-10-03;13463
2014-10-04;13537
2014-10-05;13535
2014-10-06;13575
2014-10-07;13646
2014-10-08;13487
2014-10-09;13645
2014-10-10;13687
2014-10-11;13713
2014-10-12;13697
2014-10-13;14063
2014-10-14;13965
2014-10-15;13988
2014-10-16;13926
2014-10-17;13850
2014-10-18;13845
2014-10-19;13832
2014-10-20;13846
2014-10-21;13920
2014-10-22;13852
2014-10-23;13943
2014-10-24;13916
